<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURUSD,W,20020610,000000,0.9435000,0.9524000,0.9385000,0.9454000,0
EURUSD,W,20020617,000000,0.9454000,0.9726000,0.9407000,0.9720000,0
EURUSD,W,20020624,000000,0.9725000,0.9997000,0.9670000,0.9917000,0
EURUSD,W,20020701,000000,0.9907000,0.9976000,0.9711000,0.9729000,0
EURUSD,W,20020708,000000,0.9747000,0.9975000,0.9737000,0.9918000,0
EURUSD,W,20020715,000000,0.9945000,1.0214000,0.9934000,1.0141000,0
EURUSD,W,20020722,000000,1.0113000,1.0132000,0.9843000,0.9877000,0
EURUSD,W,20020729,000000,0.9867000,0.9925000,0.9721000,0.9865000,0
EURUSD,W,20020805,000000,0.9827000,0.9878000,0.9620000,0.9686000,0
EURUSD,W,20020812,000000,0.9741000,0.9898000,0.9717000,0.9840000,0
EURUSD,W,20020819,000000,0.9857000,0.9871000,0.9662000,0.9725000,0
EURUSD,W,20020826,000000,0.9728000,0.9889000,0.9681000,0.9820000,0
EURUSD,W,20020902,000000,0.9818000,0.9996000,0.9801000,0.9818000,0
EURUSD,W,20020909,000000,0.9819000,0.9844000,0.9697000,0.9715000,0
EURUSD,W,20020916,000000,0.9704000,0.9882000,0.9613000,0.9816000,0
EURUSD,W,20020923,000000,0.9808000,0.9861000,0.9725000,0.9804000,0
EURUSD,W,20020930,000000,0.9834000,0.9916000,0.9803000,0.9824000,0
EURUSD,W,20021007,000000,0.9793000,0.9929000,0.9762000,0.9859000,0
EURUSD,W,20021014,000000,0.9891000,0.9899000,0.9694000,0.9713000,0
EURUSD,W,20021021,000000,0.9738000,0.9806000,0.9714000,0.9758000,0
EURUSD,W,20021028,000000,0.9765000,1.0008000,0.9724000,0.9966000,0
EURUSD,W,20021104,000000,0.9960000,1.0051000,0.9928000,1.0134000,0
EURUSD,W,20021111,000000,1.0128000,1.0177000,1.0010000,1.0097000,0
EURUSD,W,20021118,000000,1.0101000,1.0147000,0.9959000,0.9963000,0
EURUSD,W,20021125,000000,0.9957000,0.9965000,0.9875000,0.9946000,0
EURUSD,W,20021202,000000,0.9928000,1.0134000,0.9858000,1.0082000,0
EURUSD,W,20021209,000000,1.0114000,1.0242000,1.0057000,1.0242000,0
EURUSD,W,20021216,000000,1.0241000,1.0340000,1.0191000,1.0279000,0
EURUSD,W,20021223,000000,1.0277000,1.0447000,1.0217000,1.0430000,0
EURUSD,W,20021230,000000,1.0429000,1.0511000,1.0367000,1.0431000,0
EURUSD,W,20030106,000000,1.0419000,1.0588000,1.0356000,1.0572000,0
EURUSD,W,20030113,000000,1.0580000,1.0683000,1.0501000,1.0670000,0
EURUSD,W,20030120,000000,1.0643000,1.0826000,1.0629000,1.0814000,0
EURUSD,W,20030127,000000,1.0828000,1.0911000,1.0723000,1.0767000,0
EURUSD,W,20030203,000000,1.0791000,1.0941000,1.0692000,1.0816000,0
EURUSD,W,20030210,000000,1.0814000,1.0864000,1.0665000,1.0797000,0
EURUSD,W,20030217,000000,1.0763000,1.0854000,1.0663000,1.0773000,0
EURUSD,W,20030224,000000,1.0728000,1.0843000,1.0703000,1.0809000,0
EURUSD,W,20030303,000000,1.0773000,1.1071000,1.0765000,1.1007000,0
EURUSD,W,20030310,000000,1.1031000,1.1090000,1.0689000,1.0746000,0
EURUSD,W,20030317,000000,1.0776000,1.0844000,1.0497000,1.0526000,0
EURUSD,W,20030324,000000,1.0595000,1.0804000,1.0546000,1.0782000,0
EURUSD,W,20030331,000000,1.0794000,1.0966000,1.0680000,1.0734000,0
EURUSD,W,20030407,000000,1.0687000,1.0836000,1.0557000,1.0755000,0
EURUSD,W,20030414,000000,1.0742000,1.0979000,1.0713000,1.0882000,0
EURUSD,W,20030421,000000,1.0884000,1.1054000,1.0819000,1.1038000,0
EURUSD,W,20030428,000000,1.1031000,1.1292000,1.0930000,1.1232000,0
EURUSD,W,20030505,000000,1.1229000,1.1545000,1.1201000,1.1490000,0
EURUSD,W,20030512,000000,1.1525000,1.1619000,1.1367000,1.1584000,0
EURUSD,W,20030519,000000,1.1678000,1.1825000,1.1599000,1.1816000,0
EURUSD,W,20030526,000000,1.1824000,1.1937000,1.1690000,1.1783000,0
EURUSD,W,20030602,000000,1.1712000,1.1893000,1.1627000,1.1703000,0
EURUSD,W,20030609,000000,1.1698000,1.1884000,1.1654000,1.1867000,0
EURUSD,W,20030616,000000,1.1875000,1.1934000,1.1548000,1.1606000,0
EURUSD,W,20030623,000000,1.1575000,1.1629000,1.1397000,1.1437000,0
EURUSD,W,20030630,000000,1.1434000,1.1615000,1.1396000,1.1494000,0
EURUSD,W,20030707,000000,1.1479000,1.1490000,1.1256000,1.1299000,0
EURUSD,W,20030714,000000,1.1293000,1.1343000,1.1110000,1.1277000,0
EURUSD,W,20030721,000000,1.1261000,1.1556000,1.1239000,1.1515000,0
EURUSD,W,20030728,000000,1.1472000,1.1545000,1.1132000,1.1278000,0
EURUSD,W,20030804,000000,1.1280000,1.1432000,1.1257000,1.1312000,0
EURUSD,W,20030811,000000,1.1299000,1.1386000,1.1216000,1.1268000,0
EURUSD,W,20030818,000000,1.1250000,1.1274000,1.0833000,1.0877000,0
EURUSD,W,20030825,000000,1.0877000,1.1004000,1.0787000,1.0991000,0
EURUSD,W,20030901,000000,1.0990000,1.1119000,1.0759000,1.1109000,0
EURUSD,W,20030908,000000,1.1100000,1.1329000,1.1044000,1.1292000,0
EURUSD,W,20030915,000000,1.1273000,1.1389000,1.1135000,1.1377000,0
EURUSD,W,20030922,000000,1.1432000,1.1539000,1.1409000,1.1466000,0
EURUSD,W,20030929,000000,1.1457000,1.1745000,1.1392000,1.1582000,0
EURUSD,W,20031006,000000,1.1557000,1.1867000,1.1530000,1.1800000,0
EURUSD,W,20031013,000000,1.1721000,1.1771000,1.1542000,1.1681000,0
EURUSD,W,20031020,000000,1.1708000,1.1862000,1.1599000,1.1784000,0
EURUSD,W,20031027,000000,1.1775000,1.1790000,1.1561000,1.1598000,0
EURUSD,W,20031103,000000,1.1579000,1.1625000,1.1374000,1.1527000,0
EURUSD,W,20031110,000000,1.1503000,1.1810000,1.1452000,1.1781000,0
EURUSD,W,20031117,000000,1.1767000,1.1984000,1.1723000,1.1919000,0
EURUSD,W,20031124,000000,1.1910000,1.2021000,1.1750000,1.1998000,0
EURUSD,W,20031201,000000,1.1972000,1.2184000,1.1934000,1.2172000,0
EURUSD,W,20031208,000000,1.2170000,1.2312000,1.2111000,1.2279000,0
EURUSD,W,20031215,000000,1.2140000,1.2445000,1.2127000,1.2378000,0
EURUSD,W,20031222,000000,1.2403000,1.2477000,1.2345000,1.2431000,0
EURUSD,W,20031229,000000,1.2425000,1.2654000,1.2421000,1.2587000,0
EURUSD,W,20040105,000000,1.2582000,1.2874000,1.2557000,1.2822000,0
EURUSD,W,20040112,000000,1.2854000,1.2903000,1.2349000,1.2384000,0
EURUSD,W,20040119,000000,1.2390000,1.2781000,1.2331000,1.2583000,0
EURUSD,W,20040126,000000,1.2578000,1.2666000,1.2349000,1.2482000,0
EURUSD,W,20040202,000000,1.2470000,1.2728000,1.2388000,1.2712000,0
EURUSD,W,20040209,000000,1.2726000,1.2897000,1.2645000,1.2736000,0
EURUSD,W,20040216,000000,1.2743000,1.2933000,1.2492000,1.2540000,0
EURUSD,W,20040223,000000,1.2522000,1.2718000,1.2370000,1.2494000,0
EURUSD,W,20040301,000000,1.2484000,1.2546000,1.2054000,1.2366000,0
EURUSD,W,20040308,000000,1.2384000,1.2467000,1.2160000,1.2218000,0
EURUSD,W,20040315,000000,1.2190000,1.2439000,1.2173000,1.2293000,0
EURUSD,W,20040322,000000,1.2274000,1.2405000,1.2070000,1.2136000,0
EURUSD,W,20040329,000000,1.2118000,1.2393000,1.2046000,1.2138000,0
EURUSD,W,20040405,000000,1.2112000,1.2225000,1.1978000,1.2094000,0
EURUSD,W,20040412,000000,1.2092000,1.2104000,1.1866000,1.1995000,0
EURUSD,W,20040419,000000,1.2015000,1.2082000,1.1778000,1.1850000,0
EURUSD,W,20040426,000000,1.1820000,1.2018000,1.1756000,1.1984000,0
EURUSD,W,20040503,000000,1.1979000,1.2185000,1.1874000,1.1882000,0
EURUSD,W,20040510,000000,1.1879000,1.1947000,1.1769000,1.1889000,0
EURUSD,W,20040517,000000,1.1887000,1.2076000,1.1875000,1.1984000,0
EURUSD,W,20040524,000000,1.1968000,1.2302000,1.1930000,1.2223000,0
EURUSD,W,20040531,000000,1.2211000,1.2311000,1.2135000,1.2284000,0
EURUSD,W,20040607,000000,1.2327000,1.2356000,1.1963000,1.2010000,0
EURUSD,W,20040614,000000,1.2009000,1.2179000,1.1949000,1.2139000,0
EURUSD,W,20040621,000000,1.2131000,1.2198000,1.2037000,1.2180000,0
EURUSD,W,20040628,000000,1.2173000,1.2335000,1.2062000,1.2318000,0
EURUSD,W,20040705,000000,1.2328000,1.2429000,1.2261000,1.2416000,0
EURUSD,W,20040712,000000,1.2414000,1.2465000,1.2295000,1.2458000,0
EURUSD,W,20040719,000000,1.2442000,1.2469000,1.2085000,1.2094000,0
EURUSD,W,20040726,000000,1.2100000,1.2198000,1.1989000,1.2023000,0
EURUSD,W,20040802,000000,1.2064000,1.2298000,1.1967000,1.2282000,0
EURUSD,W,20040809,000000,1.2288000,1.2385000,1.2173000,1.2376000,0
EURUSD,W,20040816,000000,1.2371000,1.2396000,1.2277000,1.2323000,0
EURUSD,W,20040823,000000,1.2312000,1.2328000,1.2001000,1.2012000,0
EURUSD,W,20040830,000000,1.2013000,1.2225000,1.2001000,1.2060000,0
EURUSD,W,20040906,000000,1.2059000,1.2313000,1.2021000,1.2264000,0
EURUSD,W,20040913,000000,1.2263000,1.2300000,1.2117000,1.2190000,0
EURUSD,W,20040920,000000,1.2184000,1.2368000,1.2121000,1.2266000,0
EURUSD,W,20040927,000000,1.2270000,1.2449000,1.2244000,1.2420000,0
EURUSD,W,20041004,000000,1.2388000,1.2438000,1.2246000,1.2411000,0
EURUSD,W,20041011,000000,1.2418000,1.2510000,1.2224000,1.2471000,0
EURUSD,W,20041018,000000,1.2472000,1.2655000,1.2447000,1.2621000,0
EURUSD,W,20041025,000000,1.2761000,1.2849000,1.2630000,1.2801000,0
EURUSD,W,20041101,000000,1.2802000,1.2980000,1.2654000,1.2966000,0
EURUSD,W,20041108,000000,1.2979000,1.3009000,1.2843000,1.2974000,0
EURUSD,W,20041115,000000,1.2971000,1.3080000,1.2913000,1.3027000,0
EURUSD,W,20041122,000000,1.3036000,1.3335000,1.2971000,1.3298000,0
EURUSD,W,20041129,000000,1.3265000,1.3467000,1.3225000,1.3455000,0
EURUSD,W,20041206,000000,1.3439000,1.3476000,1.3137000,1.3229000,0
EURUSD,W,20041213,000000,1.3191000,1.3445000,1.3187000,1.3309000,0
EURUSD,W,20041220,000000,1.3327000,1.3555000,1.3294000,1.3532000,0
EURUSD,W,20041227,000000,1.3525000,1.3673000,1.3510000,1.3558000,0
EURUSD,W,20050103,000000,1.3541000,1.3586000,1.3023000,1.3056000,0
EURUSD,W,20050110,000000,1.3066000,1.3298000,1.3047000,1.3113000,0
EURUSD,W,20050117,000000,1.3098000,1.3133000,1.2920000,1.3041000,0
EURUSD,W,20050124,000000,1.3037000,1.3128000,1.2944000,1.3042000,0
EURUSD,W,20050131,000000,1.3027000,1.3101000,1.2860000,1.2869000,0
EURUSD,W,20050207,000000,1.2858000,1.2911000,1.2729000,1.2868000,0
EURUSD,W,20050214,000000,1.2877000,1.3095000,1.2872000,1.3075000,0
EURUSD,W,20050221,000000,1.3043000,1.3281000,1.3030000,1.3246000,0
EURUSD,W,20050228,000000,1.3236000,1.3285000,1.3086000,1.3239000,0
EURUSD,W,20050307,000000,1.3235000,1.3485000,1.3177000,1.3460000,0
EURUSD,W,20050314,000000,1.3463000,1.3483000,1.3261000,1.3329000,0
EURUSD,W,20050321,000000,1.3314000,1.3322000,1.2924000,1.2959000,0
EURUSD,W,20050328,000000,1.2961000,1.3054000,1.2853000,1.2915000,0
EURUSD,W,20050404,000000,1.2890000,1.2946000,1.2797000,1.2936000,0
EURUSD,W,20050411,000000,1.2930000,1.3015000,1.2765000,1.2926000,0
EURUSD,W,20050418,000000,1.2912000,1.3131000,1.2873000,1.3067000,0
EURUSD,W,20050425,000000,1.3072000,1.3075000,1.2879000,1.2939000,0
EURUSD,W,20050502,000000,1.2833000,1.2998000,1.2808000,1.2821000,0
EURUSD,W,20050509,000000,1.2817000,1.2919000,1.2608000,1.2635000,0
EURUSD,W,20050516,000000,1.2626000,1.2698000,1.2533000,1.2561000,0
EURUSD,W,20050523,000000,1.2547000,1.2635000,1.2492000,1.2587000,0
EURUSD,W,20050530,000000,1.2524000,1.2553000,1.2157000,1.2238000,0
EURUSD,W,20050606,000000,1.2221000,1.2360000,1.2105000,1.2121000,0
EURUSD,W,20050613,000000,1.2110000,1.2295000,1.2013000,1.2288000,0
EURUSD,W,20050620,000000,1.2216000,1.2247000,1.1980000,1.2092000,0
EURUSD,W,20050627,000000,1.2091000,1.2192000,1.1935000,1.1960000,0
EURUSD,W,20050704,000000,1.1942000,1.2045000,1.1865000,1.1968000,0
EURUSD,W,20050711,000000,1.1964000,1.2263000,1.1955000,1.2037000,0
EURUSD,W,20050718,000000,1.2027000,1.2257000,1.1950000,1.2067000,0
EURUSD,W,20050725,000000,1.2056000,1.2167000,1.1962000,1.2124000,0
EURUSD,W,20050801,000000,1.2121000,1.2409000,1.2114000,1.2361000,0
EURUSD,W,20050808,000000,1.2346000,1.2492000,1.2313000,1.2444000,0
EURUSD,W,20050815,000000,1.2457000,1.2469000,1.2128000,1.2154000,0
EURUSD,W,20050822,000000,1.2164000,1.2348000,1.2153000,1.2289000,0
EURUSD,W,20050829,000000,1.2294000,1.2596000,1.2167000,1.2533000,0
EURUSD,W,20050905,000000,1.2537000,1.2592000,1.2372000,1.2412000,0
EURUSD,W,20050912,000000,1.2401000,1.2420000,1.2191000,1.2239000,0
EURUSD,W,20050919,000000,1.2163000,1.2277000,1.2035000,1.2041000,0
EURUSD,W,20050926,000000,1.2030000,1.2097000,1.1976000,1.2028000,0
EURUSD,W,20051003,000000,1.2024000,1.2212000,1.1898000,1.2130000,0
EURUSD,W,20051010,000000,1.2114000,1.2159000,1.1910000,1.2076000,0
EURUSD,W,20051017,000000,1.2079000,1.2126000,1.1873000,1.1956000,0
EURUSD,W,20051024,000000,1.1937000,1.2177000,1.1917000,1.2071000,0
EURUSD,W,20051031,000000,1.2060000,1.2094000,1.1800000,1.1814000,0
EURUSD,W,20051107,000000,1.1816000,1.1836000,1.1667000,1.1735000,0
EURUSD,W,20051114,000000,1.1722000,1.1797000,1.1637000,1.1777000,0
EURUSD,W,20051121,000000,1.1768000,1.1869000,1.1683000,1.1726000,0
EURUSD,W,20051128,000000,1.1712000,1.1905000,1.1659000,1.1721000,0
EURUSD,W,20051205,000000,1.1703000,1.1854000,1.1683000,1.1814000,0
EURUSD,W,20051212,000000,1.1782000,1.2065000,1.1774000,1.2015000,0
EURUSD,W,20051219,000000,1.2023000,1.2045000,1.1798000,1.1869000,0
EURUSD,W,20051226,000000,1.1868000,1.1937000,1.1775000,1.1850000,0
EURUSD,W,20060102,000000,1.1845000,1.2183000,1.1799000,1.2154000,0
EURUSD,W,20060109,000000,1.2143000,1.2168000,1.2004000,1.2144000,0
EURUSD,W,20060116,000000,1.2143000,1.2179000,1.2038000,1.2136000,0
EURUSD,W,20060123,000000,1.2241000,1.2327000,1.2084000,1.2094000,0
EURUSD,W,20060130,000000,1.2104000,1.2193000,1.1966000,1.2027000,0
EURUSD,W,20060206,000000,1.2035000,1.2052000,1.1890000,1.1907000,0
EURUSD,W,20060213,000000,1.1899000,1.1956000,1.1844000,1.1941000,0
