<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
EURUSD;D;20010322;000000;0.8958000;0.8973000;0.8830000;0.8877000;0
EURUSD;D;20010323;000000;0.8910000;0.8974000;0.8876000;0.8900000;0
EURUSD;D;20010324;000000;0.8895000;0.8910000;0.8880000;0.8885000;0
EURUSD;D;20010326;000000;0.8894000;0.8956000;0.8882000;0.8942000;0
EURUSD;D;20010330;000000;0.8839000;0.8882000;0.8752000;0.8772000;0
EURUSD;D;20010331;000000;0.8777000;0.8799000;0.8759000;0.8760000;0
EURUSD;D;20010402;000000;0.8764000;0.8843000;0.8749000;0.8812000;0
EURUSD;D;20010403;000000;0.8841000;0.8977000;0.8831000;0.8964000;0
EURUSD;D;20010404;000000;0.8966000;0.9055000;0.8936000;0.9004000;0
EURUSD;D;20010405;000000;0.9074000;0.9096000;0.8960000;0.8974000;0
EURUSD;D;20010406;000000;0.8968000;0.9032000;0.8926000;0.9005000;0
EURUSD;D;20010409;000000;0.9037000;0.9055000;0.8965000;0.8967000;0
EURUSD;D;20010410;000000;0.8973000;0.8999000;0.8866000;0.8881000;0
EURUSD;D;20010411;000000;0.8879000;0.8922000;0.8810000;0.8879000;0
EURUSD;D;20010412;000000;0.8876000;0.8953000;0.8838000;0.8923000;0
EURUSD;D;20010413;000000;0.8922000;0.8942000;0.8882000;0.8884000;0
EURUSD;D;20010414;000000;0.8885000;0.8890000;0.8884000;0.8885000;0
EURUSD;D;20010416;000000;0.8887000;0.8898000;0.8830000;0.8873000;0
EURUSD;D;20010417;000000;0.8870000;0.8917000;0.8777000;0.8824000;0
EURUSD;D;20010418;000000;0.8825000;0.8904000;0.8699000;0.8855000;0
EURUSD;D;20010419;000000;0.8853000;0.8971000;0.8809000;0.8968000;0
EURUSD;D;20010420;000000;0.8969000;0.9054000;0.8953000;0.9033000;0
EURUSD;D;20010421;000000;0.9032000;0.9039000;0.9018000;0.9031000;0
EURUSD;D;20010423;000000;0.9013000;0.9088000;0.8954000;0.8969000;0
EURUSD;D;20010424;000000;0.8977000;0.9025000;0.8932000;0.8942000;0
EURUSD;D;20010425;000000;0.8941000;0.8994000;0.8910000;0.8965000;0
EURUSD;D;20010426;000000;0.8964000;0.9045000;0.8948000;0.9038000;0
EURUSD;D;20010427;000000;0.9037000;0.9060000;0.8889000;0.8910000;0
EURUSD;D;20010428;000000;0.8911000;0.8941000;0.8900000;0.8925000;0
EURUSD;D;20010503;000000;0.8931000;0.8954000;0.8894000;0.8926000;0
EURUSD;D;20010504;000000;0.8912000;0.9014000;0.8905000;0.8941000;0
EURUSD;D;20010505;000000;0.8940000;0.8945000;0.8922000;0.8931000;0
EURUSD;D;20010506;000000;0.8931000;0.8931000;0.8931000;0.8931000;0
EURUSD;D;20010507;000000;0.8924000;0.8942000;0.8900000;0.8901000;0
EURUSD;D;20010508;000000;0.8903000;0.8921000;0.8824000;0.8842000;0
EURUSD;D;20010509;000000;0.8846000;0.8860000;0.8832000;0.8832000;0
EURUSD;D;20010510;000000;0.8876000;0.8929000;0.8784000;0.8820000;0
EURUSD;D;20010511;000000;0.8819000;0.8826000;0.8735000;0.8771000;0
EURUSD;D;20010512;000000;0.8777000;0.8777000;0.8753000;0.8756000;0
EURUSD;D;20010514;000000;0.8759000;0.8766000;0.8728000;0.8748000;0
EURUSD;D;20010515;000000;0.8747000;0.8804000;0.8732000;0.8787000;0
EURUSD;D;20010516;000000;0.8785000;0.8872000;0.8746000;0.8833000;0
EURUSD;D;20010517;000000;0.8833000;0.8884000;0.8794000;0.8831000;0
EURUSD;D;20010518;000000;0.8830000;0.8837000;0.8755000;0.8802000;0
EURUSD;D;20010519;000000;0.8801000;0.8822000;0.8799000;0.8820000;0
EURUSD;D;20010521;000000;0.8797000;0.8828000;0.8742000;0.8776000;0
EURUSD;D;20010522;000000;0.8779000;0.8779000;0.8628000;0.8651000;0
EURUSD;D;20010523;000000;0.8652000;0.8670000;0.8550000;0.8567000;0
EURUSD;D;20010524;000000;0.8569000;0.8617000;0.8498000;0.8570000;0
EURUSD;D;20010525;000000;0.8574000;0.8634000;0.8539000;0.8609000;0
EURUSD;D;20010526;000000;0.8607000;0.8621000;0.8605000;0.8617000;0
EURUSD;D;20010528;000000;0.8600000;0.8612000;0.8586000;0.8601000;0
EURUSD;D;20010529;000000;0.8605000;0.8617000;0.8527000;0.8542000;0
EURUSD;D;20010530;000000;0.8545000;0.8595000;0.8536000;0.8576000;0
EURUSD;D;20010531;000000;0.8577000;0.8577000;0.8441000;0.8461000;0
EURUSD;D;20010601;000000;0.8463000;0.8502000;0.8433000;0.8483000;0
EURUSD;D;20010602;000000;0.8484000;0.8488000;0.8461000;0.8483000;0
EURUSD;D;20010603;000000;0.8483000;0.8483000;0.8483000;0.8483000;0
EURUSD;D;20010604;000000;0.8471000;0.8545000;0.8442000;0.8462000;0
EURUSD;D;20010605;000000;0.8462000;0.8544000;0.8427000;0.8544000;0
EURUSD;D;20010606;000000;0.8542000;0.8572000;0.8448000;0.8492000;0
EURUSD;D;20010607;000000;0.8491000;0.8524000;0.8459000;0.8505000;0
EURUSD;D;20010608;000000;0.8504000;0.8524000;0.8460000;0.8506000;0
EURUSD;D;20010609;000000;0.8506000;0.8513000;0.8504000;0.8511000;0
EURUSD;D;20010610;000000;0.8511000;0.8511000;0.8511000;0.8511000;0
EURUSD;D;20010611;000000;0.8498000;0.8545000;0.8413000;0.8439000;0
EURUSD;D;20010612;000000;0.8438000;0.8530000;0.8415000;0.8529000;0
EURUSD;D;20010613;000000;0.8542000;0.8572000;0.8514000;0.8548000;0
EURUSD;D;20010614;000000;0.8547000;0.8640000;0.8488000;0.8617000;0
EURUSD;D;20010615;000000;0.8616000;0.8677000;0.8600000;0.8620000;0
EURUSD;D;20010616;000000;0.8621000;0.8623000;0.8606000;0.8617000;0
EURUSD;D;20010617;000000;0.8618000;0.8618000;0.8618000;0.8618000;0
EURUSD;D;20010618;000000;0.8632000;0.8650000;0.8577000;0.8617000;0
EURUSD;D;20010619;000000;0.8616000;0.8618000;0.8553000;0.8569000;0
EURUSD;D;20010620;000000;0.8532000;0.8561000;0.8497000;0.8552000;0
EURUSD;D;20010621;000000;0.8552000;0.8589000;0.8515000;0.8559000;0
EURUSD;D;20010622;000000;0.8559000;0.8583000;0.8511000;0.8570000;0
EURUSD;D;20010623;000000;0.8574000;0.8584000;0.8566000;0.8581000;0
EURUSD;D;20010625;000000;0.8570000;0.8633000;0.8566000;0.8614000;0
EURUSD;D;20010626;000000;0.8638000;0.8658000;0.8595000;0.8639000;0
EURUSD;D;20010627;000000;0.8638000;0.8654000;0.8588000;0.8611000;0
EURUSD;D;20010628;000000;0.8610000;0.8621000;0.8437000;0.8448000;0
EURUSD;D;20010629;000000;0.8449000;0.8504000;0.8433000;0.8495000;0
EURUSD;D;20010630;000000;0.8496000;0.8511000;0.8489000;0.8499000;0
EURUSD;D;20010701;000000;0.8499000;0.8499000;0.8499000;0.8499000;0
EURUSD;D;20010702;000000;0.8510000;0.8510000;0.8443000;0.8469000;0
EURUSD;D;20010703;000000;0.8474000;0.8509000;0.8455000;0.8503000;0
EURUSD;D;20010704;000000;0.8482000;0.8514000;0.8431000;0.8469000;0
EURUSD;D;20010705;000000;0.8466000;0.8486000;0.8355000;0.8384000;0
EURUSD;D;20010706;000000;0.8382000;0.8429000;0.8352000;0.8405000;0
EURUSD;D;20010709;000000;0.8496000;0.8515000;0.8447000;0.8485000;0
EURUSD;D;20010710;000000;0.8483000;0.8578000;0.8482000;0.8562000;0
EURUSD;D;20010711;000000;0.8561000;0.8648000;0.8533000;0.8595000;0
