<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,D,20200818,000000,236.8800000,239.8300000,235.6900000,236.3000000,36709210
SBER,D,20200819,000000,235.8900000,240.7500000,235.1900000,239.4000000,38198470
SBER,D,20200820,000000,238.4400000,238.5100000,230.3300000,232.4800000,116907020
SBER,D,20200821,000000,233.3200000,236.5000000,227.3500000,231.2200000,138860290
SBER,D,20200824,000000,232.5000000,233.7000000,230.2000000,231.8100000,44448280
SBER,D,20200825,000000,232.2200000,232.9700000,226.9000000,228.0800000,58959140
SBER,D,20200826,000000,228.3000000,229.4000000,224.7000000,227.8000000,75719340
SBER,D,20200827,000000,227.8000000,229.9800000,225.6000000,226.2300000,51005540
SBER,D,20200828,000000,227.0000000,228.1000000,225.1900000,226.3000000,40700580
SBER,D,20200831,000000,227.0200000,229.7100000,225.0000000,226.1000000,61944640
SBER,D,20200901,000000,226.7100000,227.9700000,226.0100000,227.6400000,37502870
SBER,D,20200902,000000,228.5600000,228.7500000,220.8500000,222.5700000,77783830
SBER,D,20200903,000000,221.7000000,224.2300000,218.0000000,218.3200000,69352330
SBER,D,20200904,000000,218.0100000,222.5000000,216.7500000,222.2100000,70514060
SBER,D,20200907,000000,221.5800000,224.2000000,220.5000000,221.3200000,59227020
SBER,D,20200908,000000,222.0100000,222.4800000,216.2900000,217.6800000,69809370
SBER,D,20200909,000000,217.0300000,218.8800000,216.8000000,218.0000000,47977600
SBER,D,20200910,000000,218.2500000,222.1500000,215.7900000,220.6000000,71152000
SBER,D,20200911,000000,221.2200000,223.1500000,219.7500000,221.0700000,45633510
SBER,D,20200914,000000,222.3200000,227.5400000,222.1300000,227.3700000,62798500
SBER,D,20200915,000000,228.2100000,231.9500000,227.3900000,231.5000000,61742490
SBER,D,20200916,000000,231.7300000,232.6000000,230.1500000,231.0600000,39547830
SBER,D,20200917,000000,229.1000000,231.7500000,228.5700000,231.4600000,48862560
SBER,D,20200918,000000,232.0100000,232.5900000,229.0000000,230.3000000,54568200
SBER,D,20200921,000000,229.8800000,230.0700000,223.4900000,226.2500000,70253350
SBER,D,20200922,000000,226.0100000,230.2800000,225.4600000,229.8800000,66529120
SBER,D,20200923,000000,230.0500000,232.1000000,227.6100000,228.5000000,71209480
SBER,D,20200924,000000,227.7000000,231.1000000,225.7500000,228.1700000,81830090
SBER,D,20200925,000000,229.0100000,229.3000000,226.2500000,228.2400000,60095930
SBER,D,20200928,000000,228.7900000,229.5500000,227.3500000,228.6300000,64238440
SBER,D,20200929,000000,228.8500000,228.8500000,223.1000000,225.4800000,90380110
SBER,D,20200930,000000,224.4400000,230.7500000,223.2500000,229.1400000,78547070
SBER,D,20201001,000000,229.1400000,229.9000000,226.8600000,227.2300000,77695460
SBER,D,20201002,000000,210.4000000,211.3900000,206.5000000,208.8000000,113333260
SBER,D,20201005,000000,209.6000000,210.6900000,207.7200000,208.8900000,45503950
SBER,D,20201006,000000,209.0000000,212.9900000,208.3500000,211.1800000,87494140
SBER,D,20201007,000000,211.3100000,212.6600000,209.0300000,210.6000000,61938560
SBER,D,20201008,000000,211.2100000,211.4300000,207.2600000,207.9700000,49386720
SBER,D,20201009,000000,208.4600000,208.9600000,204.4000000,205.3800000,65464660
SBER,D,20201012,000000,205.9700000,208.4900000,204.5700000,206.1800000,52059840
SBER,D,20201013,000000,205.9200000,207.6400000,204.7700000,205.0300000,45995460
